updated mean std
1 144.73333333333332 24.89837120955684
6 255.93333333333334 176.52741681928302
11 296.53333333333336 23.669577285809073
16 421.4 137.0468533020733
21 517.6 130.19667174445487
26 612.5333333333333 154.97779052353133
31 717 156.93523080132985
36 809.2 129.93803651484555
41 954.1333333333333 62.72890526348723
46 1145.9333333333334 109.0971839946181
51 1090.8666666666666 168.30562148134632
55 1124.4 49.706874105432675
61 1459.7333333333333 91.8436836272491
66 1577.5333333333333 153.67015180429655
71 1692.8 117.82823657058326
76 1663.8666666666666 123.47354192520581
81 1814.1333333333334 135.977383740418
86 1723.9333333333334 151.5499770886012
91 1781.8666666666666 19.49655240178518
96 1894.6666666666667 136.06844682813949
100 2361.6666666666665 131.2471798638821
151 2915.2 128.29507654881644
201 4659 46.34220538558777
251 5831.733333333334 307.5987574024894
301 6257.133333333333 634.8670061954358
351 8240.133333333333 257.1201707805559
401 9335.333333333334 458.8120409153283
451 8853.6 649.7066825370764
501 9437 113.88239547884476
551 10394.533333333333 186.07377270558283
601 12284.933333333332 1193.784931309749
651 13172.266666666666 1353.212004413532
701 14535.6 1660.9460276200025
751 15155.2 1365.5130513229572
801 17190.066666666666 1778.4969859094192
851 20445.466666666667 298.64401699831336
901 20089.866666666665 2953.896677648395
951 17983.4 177.4672927612297
1001 19047.6 331.3135071197671
1051 20086.933333333334 1068.6714160842685
1101 21780.133333333335 1560.9094727825257
1151 22246.266666666666 1200.744295102926
1201 23387.533333333333 1476.3863481111198
1251 25527.866666666665 2187.0595134919295
1301 26814.333333333332 2758.6463991522287
1351 26804.2 1845.5499343014267
1401 30342.066666666666 1953.9708788913808
1451 27392.733333333334 347.4415954116925
1500 29178.666666666668 2302.9433823310164
1551 40973.46666666667 4577.91139956009
1601 36320.6 7982.93178224642
1650 36589.26666666667 4959.698437965311
1701 35250.13333333333 4670.574909175767
1751 35806.333333333336 2441.0657144415886
1801 39246.8 3770.584219985014
1851 39601 4349.362941857117
1901 39065.86666666667 3003.911935386182
1951 41296.26666666667 3692.470256556653
2001 39798.53333333333 2753.4201729646875
2051 43530.2 4622.443959638667
2101 43746.4 3134.354347123715
2151 47409.6 4667.902695358305
2201 45767.86666666667 3483.5971804379956
2251 49735.066666666666 5410.509458041411
2301 46839.86666666667 3352.2367431645134
2351 51528.933333333334 3537.820147429142
2401 51929.066666666666 4253.381391578026
2451 53190.53333333333 3555.69319761359
2500 52866.86666666667 4618.190899283206
2551 53654.066666666666 2696.884609239994
2601 53063.13333333333 3605.164811150186
2651 55645.26666666667 3543.8561571009373
2701 57291.46666666667 3585.823268868051
2751 59931.26666666667 5486.602196462052
2801 63369.8 5520.05912045635
2851 59591.6 3926.3717059561914
2901 61298.8 4795.947125090795
2951 64685.6 6317.526845214034
3001 61465.8 1501.7679891825278
3051 63556.2 4831.064992317946
3101 72912.33333333333 6483.945821968458
3151 70123.13333333333 5377.574073460593
3201 67066.2 3485.1683498314205
3251 65991.46666666666 2144.640758314134
3301 77279.2 10174.45232727541
3351 80274.13333333333 6673.309692265817
3401 73563.8 6313.260163602743
3450 73675.33333333333 5218.434729133078
3501 76710.06666666667 4639.711463250945
3551 83907.46666666666 10370.951109495963
3601 73860.86666666667 2499.9235686094266
3651 84318.2 8110.4345399409185
3701 83612.06666666667 5468.934490576956
3750 76255.8 3927.3756326585317
3801 85268.93333333333 8096.5367861134855
3851 88281.6 7477.591999211155
3901 86681.13333333333 7798.704352789779
3951 89361.6 7761.071273134055
4001 88590.53333333334 6304.404184025288
4051 88367.66666666667 4895.783351234226
4101 89545.2 7416.261548785884
4151 91714.8 8743.967308569567
4201 92939.53333333334 7366.656499540495
4251 99626.33333333333 7775.079392234883
4301 101286.73333333334 6863.67243261377
4351 102049.13333333333 6779.04628362689
4401 100017.13333333333 5036.046860606265
4451 109095.86666666667 7869.5590547092
4501 107836.73333333334 5517.827259186556
4551 110304.13333333333 9696.426908001846
4601 110590.4 7167.379696002345
4651 111057.93333333333 5852.23705907028
4701 113694.2 5439.6355662243905
4751 110768.66666666667 8757.607288650377
4801 106069.26666666666 5426.570230101351
4851 111564.2 6578.932580087238
4901 120587.6 9319.721832758743
4951 117406.66666666667 10705.418993305317
5001 113639.46666666666 7518.198000998792
5051 122965.8 7350.986874336442
5101 150630.33333333334 31786.995837221795
5151 128517.73333333334 15573.826108642097
5201 123227 11034.084755882564
5251 119188.86666666667 14306.079574160849
5301 113345.4 9443.976555102905
5351 116295.46666666666 8399.564360661147
5401 114774.13333333333 6782.798516508917
5450 112707.13333333333 7155.507807432134
5501 118911.26666666666 7666.140849794561
5551 117133.4 10034.875291037088
5601 117649.8 7716.709602760319
5651 119974.93333333333 10077.47471983378
5701 121594.73333333334 6389.524003832801
5751 122023.53333333334 8276.60451205015
5801 125325.86666666667 9674.452121380771
5851 128246.66666666667 10039.31354005619
5901 128297.13333333333 8781.322746729116
5951 127235.6 13885.40424474563
6001 125023.8 8590.736958685984
6051 133492.2 13873.257157567577
6100 132168 12046.105710975644
6151 132897.26666666666 14555.298945592136
6201 135471.93333333332 9219.341990016906
6251 131059.86666666667 10334.810521512021
6301 135818.66666666666 12576.084508127144
6351 134329.06666666668 8658.10707153834
6401 139259.53333333333 12801.118007771387
6451 137632.93333333332 10213.131302179345
6501 142595.2 8422.75609841181
6551 139655.2 13972.76078757046
6601 138870.4 10130.56077289571
6651 138989.86666666667 7954.453552291041
6700 142464.06666666668 12145.039994261946
6751 141138.4 6942.585347452825
6801 143766.06666666668 9837.172293341664
6851 149704.26666666666 9051.83752591459
6901 145903.8 10041.120735588567
6951 171465.4 30293.71242089685
7001 170797.2 29791.582429046408
7051 155556.66666666666 6654.468390153759
7101 153580.8 10862.71477547548
7151 158175.4 12210.841678879742
7201 155173.73333333334 10707.04782509581
7251 156315.53333333333 8505.612726246645
7301 154963 10875.807991439839
7350 155962.2 10328.124774614218
7401 160873 9053.178093907134
7451 157407 11150.297652230336
7501 158467.86666666667 9571.010527397593
7551 166460.4 11503.51130626355
7601 160322.13333333333 7855.553032657146
7651 165477 20733.074250256923
7701 164596.8 11022.930506902418
7751 159389.86666666667 6844.295462808588
7801 165351.53333333333 10991.898421817568
7851 174377.13333333333 14812.796134273756
